Technique ID,Technique Name,Tactics,Technique Description,Platform,Link,Changed
T1542.001,Pre-OS Boot: System Firmware,"Defense Evasion,Persistence",Adversaries may modify system firmware to persist on systems.The BIOS (Basic Input/Output System) and The Unified Extensible Firmware Interface (UEFI) or Extensible Firmware Interface (EFI) are examples of system firmware that operate as the software interface between the operating system and hardware of a computer. System firmware like BIOS and (U)EFI underly the functionality of a computer and may be modified by an adversary to perform or assist in malicious activity.,Windows,https://attack.mitre.org/techniques/T1542/001,No
T1542.002,Pre-OS Boot: Component Firmware,"Defense Evasion,Persistence","Adversaries may modify component firmware to persist on systems. Some adversaries may employ sophisticated means to compromise computer components and install malicious firmware that will execute adversary code outside of the operating system and main system firmware or BIOS. Malicious component firmware could provide both a persistent level of access to systems despite potential typical failures to maintain access and hard disk re-images, as well as a way to evade host software-based defenses and integrity checks.",Windows,https://attack.mitre.org/techniques/T1542/002,No
T1542.003,Pre-OS Boot: Bootkit,"Defense Evasion,Persistence","Adversaries may use bootkits to persist on systems. Bootkits reside at a layer below the operating system and may make it difficult to perform full remediation unless an organization suspects one was used and can act accordingly. A bootkit is a malware variant that modifies the boot sectors of a hard drive, including the Master Boot Record (MBR) and Volume Boot Record (VBR).","Linux,Windows",https://attack.mitre.org/techniques/T1542/003,No
T1542.004,Pre-OS Boot: ROMMONkit,"Defense Evasion,Persistence","Adversaries may abuse the ROM Monitor (ROMMON) by loading an unauthorized firmware with adversary code to provide persistent access and manipulate device behavior that is difficult to detect. ROMMON is a Cisco network device firmware that functions as a boot loader, boot image, or boot helper to initialize hardware and software when the platform is powered on or reset. An adversary may upgrade the ROMMON image locally or remotely (for example, through TFTP) with adversary code and restart the device in order to overwrite the existing ROMMON image. This provides adversaries with the means to update the ROMMON to gain persistence on a system in a way that may be difficult to detect.",Network,https://attack.mitre.org/techniques/T1542/004,No
T1542.005,Pre-OS Boot: TFTP Boot,"Defense Evasion,Persistence","Adversaries may abuse netbooting to load an unauthorized network device operating system from a Trivial File Transfer Protocol (TFTP) server. TFTP boot (netbooting) is commonly used by network administrators to load configuration-controlled network device images from a centralized management server. Netbooting is one option in the boot sequence and can be used to centralize, manage, and control device images. Adversaries may manipulate the configuration on the network device specifying use of a malicious TFTP server, which may be used in conjunction with ?Modify System Image? to load a modified image on device startup or reset. The unauthorized image allows adversaries to modify device configuration, add malicious capabilities to the device, and introduce backdoors to maintain control of the network device while minimizing detection through use of a standard functionality.",Network,https://attack.mitre.org/techniques/T1542/005,No
T1543.001,Create or Modify System Process: Launch Agent,"Persistence,Privilege Escalation","Adversaries may create or modify launch agents to repeatedly execute malicious payloads as part of persistence. When a user logs in, a per-user launchd process is started which loads the parameters for each launch-on-demand user agent.  These launch agents have property list files which point to the executables that will be launched. Adversaries may install a new launch agent that can be configured to execute at login by using launchd or launchctl to load a plist into the appropriate directories  The agent name may be disguised by using a name from a related operating system or benign software. Launch Agents are created with user level privileges and are executed with the privileges of the user when they log in.",macOS,https://attack.mitre.org/techniques/T1543/001,No
T1543.002,Create or Modify System Process: Systemd Service,"Persistence,Privilege Escalation","Adversaries may create or modify systemd services to repeatedly execute malicious payloads as part of persistence. The systemd service manager is commonly used for managing background daemon processes (also known as services) and other system resources. Adversaries have used systemd functionality to establish persistent access to victim systems by creating and/or modifying service unit files that cause systemd to execute malicious commands at recurring intervals, such as at system boot.",Linux,https://attack.mitre.org/techniques/T1543/002,No
T1543.003,Create or Modify System Process: Windows Service,"Persistence,Privilege Escalation","Adversaries may create or modify Windows services to repeatedly execute malicious payloads as part of persistence. When Windows boots up, it starts programs or applications called services that perform background system functions. Adversaries may install a new service or modify an existing service by using system utilities to interact with services, by directly modifying the Registry, or by using custom tools to interact with the Windows API. Adversaries may configure services to execute at startup in order to persist on a system. An adversary may also incorporate Masquerading by using a service name from a related operating system or benign software, or by modifying existing services to make detection analysis more challenging. Modifying existing services may interrupt their functionality or may enable services that are disabled or otherwise not commonly used.  Services may be created with administrator privileges but are executed under SYSTEM privileges, so an adversary may also use a service to escalate privileges from administrator to SYSTEM.",Windows,https://attack.mitre.org/techniques/T1543/003,No
T1543.004,Create or Modify System Process: Launch Daemon,"Persistence,Privilege Escalation","Adversaries may create or modify launch daemons to repeatedly execute malicious payloads as part of persistence. When macOS and OS X boot up, launchd is run to finish system initialization. This process loads the parameters for each launch-on-demand system-level daemon from the property list (plist) files. Adversaries may install a new launch daemon that can be configured to execute at startup by using launchd or launchctl to load a plist into the appropriate directories  (Citation: OSX Malware Detection). The daemon name may be disguised by using a name from a related operating system or benign software (Citation: WireLurker). Launch Daemons may be created with administrator privileges, but are executed under root privileges, so an adversary may also use a service to escalate privileges from administrator to root.",macOS,https://attack.mitre.org/techniques/T1543/004,No
T1546.001,Event Triggered Execution: Change Default File Association,"Persistence,Privilege Escalation","Adversaries may establish persistence by executing malicious content triggered by a file type association. When a file is opened, the default program used to open the file (also called the file association or handler) is checked. File association selections are stored in the Windows Registry and can be edited by users, administrators, or programs that have Registry access The values of the keys listed are commands that are executed when the handler opens the file extension. Adversaries can modify these values to continually execute arbitrary commands.",Windows,https://attack.mitre.org/techniques/T1546/001,No
T1546.002,Event Triggered Execution: Screensaver,"Persistence,Privilege Escalation",Adversaries may establish persistence by executing malicious content triggered by user inactivity. Screensavers are programs that execute after a configurable time of user inactivity and consist of Portable Executable (PE) files with a .scr file extension. The screensaver settings are stored in the Registry.  Adversaries can use screensaver settings to maintain persistence by setting the screensaver to run malware after a certain timeframe of user inactivity.,Windows,https://attack.mitre.org/techniques/T1546/002,No
T1546.003,Event Triggered Execution: Windows Management Instrumentation Event Subscription,"Persistence,Privilege Escalation","Adversaries may establish persistence and elevate privileges by executing malicious content triggered by a Windows Management Instrumentation (WMI) event subscription. Adversaries may use the capabilities of WMI to subscribe to an event and execute arbitrary code when that event occurs, providing persistence on a system.  Adversaries may also compile WMI scripts into Windows Management Object (MOF) files (.mof extension) that can be used to create a malicious subscription.",Windows,https://attack.mitre.org/techniques/T1546/003,No
T1546.004,Event Triggered Execution: Unix Shell Configuration Modification,"Persistence,Privilege Escalation",Adversaries may establish persistence by executing malicious content triggered by a user's shell.?~/.bash_profile?and?~/.bashrc?are shell scripts that contain shell commands. These files are executed in a user's context when a new shell opens or when a user logs in so that their environment is set correctly. Adversaries may abuse these shell scripts by inserting arbitrary shell commands that may be used to execute other binaries to gain persistence.,"Linux,macOS",https://attack.mitre.org/techniques/T1546/004,Yes
T1546.005,Event Triggered Execution: Trap,"Persistence,Privilege Escalation","Adversaries may establish persistence by executing malicious content triggered by an interrupt signal. The trap command allows programs and shells to specify commands that will be executed upon receiving interrupt signals. A common situation is a script allowing for graceful termination and handling of common keyboard interrupts like ctrl+c and ctrl+d. Adversaries can use this to register code to be executed when the shell encounters specific interrupts as a persistence mechanism. Trap commands are of the following format trap 'command list' signals where ""command list"" will be executed when ""signals"" are received","Linux,macOS",https://attack.mitre.org/techniques/T1546/005,No
T1546.006,Event Triggered Execution: LC_LOAD_DYLIB Addition,"Persistence,Privilege Escalation","Adversaries may establish persistence by executing malicious content triggered by the execution of tainted binaries. Mach-O binaries have a series of headers that are used to perform certain operations when a binary is loaded. The LC_LOAD_DYLIB header in a Mach-O binary tells macOS and OS X which dynamic libraries (dylibs) to load during execution time.  Adversaries may modify Mach-O binary headers to load and execute malicious dylibs every time the binary is executed. Although any changes will invalidate digital signatures on binaries because the binary is being modified, this can be remediated by simply removing the LC_CODE_SIGNATURE command from the binary so that the signature isn't checked at load time.",macOS,https://attack.mitre.org/techniques/T1546/006,No
T1546.007,Event Triggered Execution: Netsh Helper DLL,"Persistence,Privilege Escalation","Adversaries may establish persistence by executing malicious content triggered by Netsh Helper DLLs. Netsh.exe (also referred to as Netshell) is a command-line scripting utility used to interact with the network configuration of a system. It contains functionality to add helper DLLs for extending functionality of the utility. Adversaries can use netsh.exe helper DLLs to trigger execution of arbitrary code in a persistent manner. This execution would take place anytime netsh.exe is executed, which could happen automatically, with another persistence technique, or if other software (ex: VPN) is present on the system that executes netsh.exe as part of its normal functionality.",Windows,https://attack.mitre.org/techniques/T1546/007,No
T1546.008,Event Triggered Execution: Accessibility Features,"Persistence,Privilege Escalation",Adversaries may establish persistence and/or elevate privileges by executing malicious content triggered by accessibility features. Windows contains accessibility features that may be launched with a key combination before a user has logged in (ex: when the user is on the Windows logon screen). An adversary can modify the way these programs are launched to get a command prompt or backdoor without logging in to the system.,Windows,https://attack.mitre.org/techniques/T1546/008,No
T1546.009,Event Triggered Execution: AppCert DLLs,"Persistence,Privilege Escalation",Adversaries may establish persistence and/or elevate privileges by executing malicious content triggered by AppCert DLLs loaded into processes. Dynamic-link libraries (DLLs) that are specified in the AppCertDLLs Registry key are loaded into every process that calls the ubiquitously used application programming interface (API) functions. This value can be abused to obtain elevated privileges by causing a malicious DLL to be loaded and run in the context of separate processes on the computer.,Windows,https://attack.mitre.org/techniques/T1546/009,No
T1546.010,Event Triggered Execution: AppInit DLLs,"Persistence,Privilege Escalation","Adversaries may establish persistence and/or elevate privileges by executing malicious content triggered by AppInit DLLs loaded into processes. Dynamic-link libraries (DLLs) that are specified in the AppInit_DLLs value in the Registry keys, are loaded by user32.dll into every process that loads user32.dll. In practice this is nearly every program, since user32.dll is a very common library. These values can be abused to obtain elevated privileges by causing a malicious DLL to be loaded and run in the context of separate processes on the computer.",Windows,https://attack.mitre.org/techniques/T1546/010,No
T1546.011,Event Triggered Execution: Application Shimming,"Persistence,Privilege Escalation","Adversaries may establish persistence and/or elevate privileges by executing malicious content triggered by application shims. The Microsoft Windows Application Compatibility Infrastructure/Framework (Application Shim) was created to allow for backward compatibility of software as the operating system codebase changes over time. To keep shims secure, Windows designed them to run in user mode so they cannot modify the kernel and you must have administrator privileges to install a shim. Utilizing these shims may allow an adversary to perform several malicious acts such as elevate privileges, install backdoors, disable defenses like Windows Defender, etc. Shims can also be abused to establish persistence by continuously being invoked by affected programs.",Windows,https://attack.mitre.org/techniques/T1546/011,No
T1546.012,Event Triggered Execution: Image File Execution Options Injection,"Persistence,Privilege Escalation",Adversaries may establish persistence and/or elevate privileges by executing malicious content triggered by Image File Execution Options (IEFO) debuggers. IEFOs enable a developer to attach a debugger to an application.?IEFO can be abused to obtain privilege escalation by causing a malicious executable to be loaded and run in the context of separate processes on the computer. Installing IFEO mechanisms may also provide Persistence via continuous triggered invocation. Malware may also use IFEO to Impair Defenses by registering invalid debuggers that redirect and effectively disable various system and security applications.,Windows,https://attack.mitre.org/techniques/T1546/012,No
T1546.013,Event Triggered Execution: PowerShell Profile,"Persistence,Privilege Escalation","Adversaries may gain persistence and elevate privileges by executing malicious content triggered by PowerShell profiles. A PowerShell profile is a script that runs when PowerShell starts and can be used as a logon script to customize user environments. Adversaries may modify these profiles to include arbitrary commands, functions, modules to gain persistence. Every time a user opens a PowerShell session, the modified script will be executed.  An adversary may also be able to escalate privileges if a script in a PowerShell profile is loaded and executed by an account with higher privileges, such as a domain administrator. (Citation: Wits End and Shady PowerShell Profiles)",Windows,https://attack.mitre.org/techniques/T1546/013,No
T1546.014,Event Triggered Execution: Emond,"Persistence,Privilege Escalation","Adversaries may gain persistence and elevate privileges by executing malicious content triggered by the Event Monitor Daemon (emond). Emond is a Launch Daemon that accepts events from various services, runs them through a simple rules engine, and takes action. Adversaries may abuse this service by writing a rule to execute commands when a defined event occurs, such as system start up or user authentication. Adversaries may also be able to escalate privileges from administrator to root as the emond service is executed with root privileges by the Launch Daemon service.",macOS,https://attack.mitre.org/techniques/T1546/014,No
T1546.015,Event Triggered Execution: Component Object Model Hijacking,"Persistence,Privilege Escalation",Adversaries may establish persistence by executing malicious content triggered by hijacked references to Component Object Model (COM) objects. COM is a system within Windows to enable interaction between software components through the operating system. Adversaries can use the COM system to insert malicious code that can be executed in place of legitimate software through hijacking the COM references and relationships as a means for persistence.,Windows,https://attack.mitre.org/techniques/T1546/015,No
T1547.001,Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder,"Persistence,Privilege Escalation","Adversaries may achieve persistence by adding a program to a startup folder or referencing it with a Registry run key. Adding an entry to the ""run keys"" in the Registry or startup folder will cause the program referenced to be executed when a user logs in. Adversaries can use these configuration locations to execute malware, such as remote access tools, to maintain persistence through system reboots. Adversaries may also use Masquerading to make the Registry entries look as if they are associated with legitimate programs.",Windows,https://attack.mitre.org/techniques/T1547/001,No
T1547.002,Boot or Logon Autostart Execution: Authentication Package,"Persistence,Privilege Escalation",Adversaries may abuse authentication packages to execute DLLs when the system boots. Windows authentication package DLLs are loaded by the Local Security Authority (LSA) process at system start. Adversaries can use the autostart mechanism provided by LSA authentication packages for persistence by placing a reference to a binary in the Windows Registry.,Windows,https://attack.mitre.org/techniques/T1547/002,No
T1547.003,Boot or Logon Autostart Execution: Time Providers,"Persistence,Privilege Escalation","Adversaries may abuse time providers to execute DLLs when the system boots. The Windows Time service (W32Time) enables time synchronization across and within domains. Time providers are implemented as dynamic-link libraries (DLLs) that can be found in the registry. Adversaries may abuse this architecture to establish persistence, specifically by registering and enabling a malicious DLL as a time provider.",Windows,https://attack.mitre.org/techniques/T1547/003,No
T1547.004,Boot or Logon Autostart Execution: Winlogon Helper DLL,"Persistence,Privilege Escalation",Adversaries may abuse features of Winlogon to execute DLLs and/or executables when a user logs in. Winlogon.exe is a Windows component responsible for actions at logon/logoff as well as the secure attention sequence (SAS) triggered by Ctrl-Alt-Delete. Malicious modifications to these Registry keys may cause Winlogon to load and execute malicious DLLs and/or executables.,Windows,https://attack.mitre.org/techniques/T1547/004,No
T1547.005,Boot or Logon Autostart Execution: Security Support Provider,"Persistence,Privilege Escalation","Adversaries may abuse security support providers (SSPs) to execute DLLs when the system boots. Windows SSP DLLs are loaded into the Local Security Authority (LSA) process at system start. Once loaded into the LSA, SSP DLLs have access to encrypted and plaintext passwords that are stored in Windows, such as any logged-on user's Domain password or smart card PINs.",Windows,https://attack.mitre.org/techniques/T1547/005,No
T1547.006,Boot or Logon Autostart Execution: Kernel Modules and Extensions,"Persistence,Privilege Escalation","Adversaries may modify the kernel to automatically execute programs on system boot. Loadable Kernel Modules (LKMs) are pieces of code that can be loaded and unloaded into the kernel upon demand. They extend the functionality of the kernel without the need to reboot the system. When used maliciously, LKMs can be a type of kernel-mode [Rootkit](https://attack.mitre.org/techniques/T1014) that run with the highest operating system privilege. Adversaries can use LKMs and Kernel Extensions to covertly persist on a system and elevate privileges.","Linux,macOS",https://attack.mitre.org/techniques/T1547/006,No
T1547.007,Boot or Logon Autostart Execution: Re-opened Applications,"Persistence,Privilege Escalation","Adversaries may modify plist files to automatically run an application when a user logs in. Starting in Mac OS X 10.7 (Lion), users can specify certain applications to be re-opened when a user logs into their machine after reboot. There are property list files (plist) that contain this information.  An adversary can modify one of these files directly to include a link to their malicious executable to provide a persistence mechanism each time the user reboots their machine.",macOS,https://attack.mitre.org/techniques/T1547/007,No
T1547.008,Boot or Logon Autostart Execution: LSASS Driver,"Persistence,Privilege Escalation","Adversaries may modify or add LSASS drivers to obtain persistence on compromised systems. The Windows security subsystem is a set of components that manage and enforce the security policy for a computer or domain. The Local Security Authority (LSA) is the main component responsible for local security policy and user authentication. Adversaries may target LSASS drivers to obtain persistence. By either replacing or adding illegitimate drivers (e.g., Hijack Execution Flow), an adversary can use LSA operations to continuously execute malicious payloads.",Windows,https://attack.mitre.org/techniques/T1547/008,No
T1547.009,Boot or Logon Autostart Execution: Shortcut Modification,"Persistence,Privilege Escalation",Adversaries may create or edit shortcuts to run a program during system boot or user login. Shortcuts or symbolic links are ways of referencing other files or programs that will be opened or executed when the shortcut is clicked or executed by a system startup process.,Windows,https://attack.mitre.org/techniques/T1547/009,No
T1547.010,Boot or Logon Autostart Execution: Port Monitors,"Persistence,Privilege Escalation",Adversaries may use port monitors to run an attacker supplied DLL during system boot for persistence or privilege escalation. A port monitor can be set through the AddMonitor API call to set a DLL to be loaded at startup. Adversaries can use this technique to load malicious code at startup that will persist on system reboot and execute as SYSTEM.,Windows,https://attack.mitre.org/techniques/T1547/010,No
T1547.011,Boot or Logon Autostart Execution: Plist Modification,"Persistence,Privilege Escalation",Adversaries may modify plist files to run a program during system boot or user login. Property list (plist) files contain all of the information that macOS and OS X uses to configure applications and services. Adversaries can modify plist files to execute their code as part of establishing persistence. plists may also be used to elevate privileges since they may execute in the context of another user.,macOS,https://attack.mitre.org/techniques/T1547/011,No
T1547.012,Boot or Logon Autostart Execution: Print Processors,"Persistence,Privilege Escalation","Adversaries may abuse print processors to run malicious DLLs during system boot for persistence and/or privilege escalation. Print processors are DLLs that are loaded by the print spooler service, spoolsv.exe, during boot. Adversaries may abuse the print spooler service by adding print processors that load malicious DLLs at startup. One way the print processor can be installed through the ?AddPrintProcessor? API call with an account that has ?SeLoadDriverPrivilege? enabled. The print spooler service runs under SYSTEM level permissions, therefore print processors installed by an adversary may run under elevated privileges.",Windows,https://attack.mitre.org/techniques/T1547/012,No
T1547.013,Boot or Logon Autostart Execution: XDG Autostart Entries,"Persistence,Privilege Escalation","Adversaries may modify XDG autostart entries to execute programs or commands during system boot. Linux desktop environments that are XDG compliant implement functionality for XDG autostart entries. These entries will allow an application to automatically start during the startup of a desktop environment after user logon. By default, XDG autostart entries are stored within the <code>/etc/xdg/autostart</code> or <code>~/.config/autostart</code> directories and have a .desktop file extension.(Citation: Free Desktop Application Autostart Feb 2006)",Linux,https://attack.mitre.org/techniques/T1547/013,Yes
T1547.014,Boot or Logon Autostart Execution: Active Setup,"Persistence,Privilege Escalation",Adversaries may achieve persistence by adding a Registry key to the Active Setup of the local machine. Active Setup is a Windows mechanism that is used to execute programs when a user logs in. The value stored in the Registry key will be executed after a user logs into the computer.(Citation: Klein Active Setup 2010) These programs will be executed under the context of the user and will have the account's associated permissions level.,Windows,https://attack.mitre.org/techniques/T1547/014,Yes
T1548.001,Abuse Elevation Control Mechanism: Setuid and Setgid,"Defense Evasion,Privilege Escalation","An adversary may perform shell escapes or exploit vulnerabilities in an application with the setsuid or setgid bits to get code running in a different user's context. On Linux or macOS, when the setuid or setgid bits are set for an application, the application will run with the privileges of the owning user or group respectively. When programs need to be executed in an elevated context to function properly, the user can specify the setuid or setgid flag to be set for their own applications. Adversaries can use this mechanism on their own malware to make sure they're able to execute in elevated contexts in the future.","Linux,macOS",https://attack.mitre.org/techniques/T1548/001,No
T1548.002,Abuse Elevation Control Mechanism: Bypass User Account Control,"Defense Evasion,Privilege Escalation","Adversaries may bypass UAC mechanisms to elevate process privileges on system. Windows User Account Control (UAC) allows a program to elevate its privileges (tracked as integrity levels ranging from low to high) to perform a task under administrator-level permissions, possibly by prompting the user for confirmation.",Windows,https://attack.mitre.org/techniques/T1548/002,No
T1548.003,Abuse Elevation Control Mechanism: Sudo and Sudo Caching,"Defense Evasion,Privilege Escalation",Adversaries may perform sudo caching and/or use the suoders file to elevate privileges. Adversaries may do this to execute commands as other users or spawn processes with higher privileges.,"Linux,macOS",https://attack.mitre.org/techniques/T1548/003,No
T1548.004,Abuse Elevation Control Mechanism: Elevated Execution with Prompt,"Defense Evasion,Privilege Escalation","Adversaries may leverage the ""AuthorizationExecuteWithPrivileges"" API to escalate privileges by prompting the user for credentials.",macOS,https://attack.mitre.org/techniques/T1548/004,No
T1550.001,Use Alternate Authentication Material: Application Access Token,"Defense Evasion,Lateral Movement","Adversaries may use stolen application access tokens to bypass the typical authentication process and access restricted accounts, information, or services on remote systems. These tokens are typically stolen from users and used in lieu of login credentials. Application access tokens are used to make authorized API requests on behalf of a user and are commonly used as a way to access resources in cloud-based applications and software-as-a-service (SaaS). With a cloud-based email service once an OAuth access token is granted to a malicious application, it can potentially gain long-term access to features of the user account if a ""refresh"" token enabling background access is awarded. Compromised access tokens may be used as an initial step in compromising other services.","Google Workspace,Office 365,SaaS",https://attack.mitre.org/techniques/T1550/001,Yes
T1550.002,Use Alternate Authentication Material: Pass the Hash,"Defense Evasion,Lateral Movement","Adversaries may ""Pass the hash"" using stolen password hashes to move laterally within an environment, bypassing normal system access controls. Pass the hash (PtH) is a method of authenticating as a user without having access to the user's cleartext password. Valid password hashes for an account are captured using a Credential Access technique and can be used with PtH to authenticate as that user. Once authenticated, PtH may be used to perform actions on local or remote systems.",Windows,https://attack.mitre.org/techniques/T1550/002,No
T1550.003,Use Alternate Authentication Material: Pass the Ticket,"Defense Evasion,Lateral Movement","Adversaries may ""pass the ticket"" using stolen Kerberos tickets to move laterally within an environment, bypassing normal system access controls. Pass the ticket (PtT) is a method of authenticating to a system using Kerberos tickets without having access to an account's password. Valid Kerberos tickets for Valid Accounts are captured by OS Credential Dumping. A user's service tickets or ticket granting ticket (TGT) may be obtained, depending on the level of access.",Windows,https://attack.mitre.org/techniques/T1550/003,No
T1550.004,Use Alternate Authentication Material: Web Session Cookie,"Defense Evasion,Lateral Movement","Adversaries can use stolen session cookies to authenticate to web applications and services. Authentication cookies are commonly used in web applications, including cloud-based services, after a user has authenticated to the service so credentials are not passed and re-authentication does not need to occur as frequently. Cookies are often valid for an extended period of time, even if the web application is not actively used. After the cookie is obtained through Steal Web Session Cookie, the adversary may then import the cookie into a browser they control and is then able to use the site or application as the user for as long as the session cookie is active. Once logged into the site, an adversary can access sensitive information, read email, or perform actions that the victim account has permissions to perform.","Google Workspace,Office 365,SaaS",https://attack.mitre.org/techniques/T1550/004,Yes
T1552.001,Unsecured Credentials: Credentials In Files,Credential Access,Adversaries may search local file systems and remote file shares for files containing insecurely stored credentials. It is possible to extract passwords from backups or saved virtual machines through OS Credential Dumping. Passwords may also be obtained from Group Policy Preferences stored on the Windows Domain Controller.,"Containers,IaaS,Linux,Windows,macOS",https://attack.mitre.org/techniques/T1552/001,Yes
T1552.002,Unsecured Credentials: Credentials in Registry,Credential Access,Adversaries may search the Registry on compromised systems for insecurely stored credentials. The Windows Registry stores configuration information that can be used by the system or other programs. Adversaries may query the Registry looking for credentials and passwords that have been stored for use by other programs or services. Sometimes these credentials are used for automatic logons.,Windows,https://attack.mitre.org/techniques/T1552/002,No
T1552.003,Unsecured Credentials: Bash History,Credential Access,"Adversaries may search the bash command history on compromised systems for insecurely stored credentials. Bash keeps track of the commands users type on the command-line with the ""history"" utility. Users often type usernames and passwords on the command-line as parameters to programs, which then get saved to this file when they log out. Attackers can abuse this by looking through the file for potential credentials.","Linux,macOS",https://attack.mitre.org/techniques/T1552/003,No
T1552.004,Unsecured Credentials: Private Keys,Credential Access,"Adversaries may search for private key certificate files on compromised systems for insecurely stored credentials. Private cryptographic keys and certificates are used for authentication, encryption/decryption, and digital signatures. Common key and certificate file extensions include: .key, .pgp, .gpg, .ppk., .p12, .pem, .pfx, .cer, .p7b, .asc. Some private keys require a password or passphrase for operation, so an adversary may also use Input Capture for keylogging or attempt to Brute Force the passphrase off-line.","Linux,Windows,macOS",https://attack.mitre.org/techniques/T1552/004,No
T1552.005,Unsecured Credentials: Cloud Instance Metadata API,Credential Access,"Adversaries may attempt to access the Cloud Instance Metadata API to collect credentials and other sensitive data. Available information generally includes name, security group, and additional metadata including sensitive data such as credentials and UserData scripts that may contain additional secrets. Attackers may exploit a Server-Side Request Forgery (SSRF) vulnerability in a public facing web proxy that allows the attacker to gain access to the sensitive information via a request to the Instance Metadata API.",IaaS,https://attack.mitre.org/techniques/T1552/005,Yes
T1552.006,Unsecured Credentials: Group Policy Preferences,Credential Access,Adversaries may attempt to find unsecured credentials in Group Policy Preferences (GPP). GPP are tools that allow administrators to create domain policies with embedded credentials. These policies allow administrators to set local accounts.,Windows,https://attack.mitre.org/techniques/T1552/006,No
T1552.007,Unsecured Credentials: Container API,Credential Access,"Adversaries may gather credentials via APIs within a containers environment. APIs in these environments, such as the Docker API and Kubernetes APIs, allow a user to remotely manage their container resources and cluster components.(Citation: Docker API)(Citation: Kubernetes API)",Containers,https://attack.mitre.org/techniques/T1552/007,Yes
T1553.001,Subvert Trust Controls: Gatekeeper Bypass,Defense Evasion,"Adversaries may modify file attributes that signify programs are from untrusted sources to subvert Gatekeeper controls. Apple's Gatekeeper defense program prompts user to allow or deny execution of programs downloaded from the Internet.Apps loaded onto the system from USB flash drive, optical disk, external hard drive, or even from a drive shared over the local network won't set this flag. Additionally, it is possible to avoid setting this flag using Drive-by Compromise.",macOS,https://attack.mitre.org/techniques/T1553/001,No
T1553.002,Subvert Trust Controls: Code Signing,Defense Evasion,"Adversaries may create, acquire, or steal code signing materials to sign their malware or tools. Code signing provides a level of authenticity on a binary from the developer and a guarantee that the binary has not been tampered with.?The certificates used during an operation may be created, acquired, or stolen by the adversary.","Windows,macOS",https://attack.mitre.org/techniques/T1553/002,No
T1553.003,Subvert Trust Controls: SIP and Trust Provider Hijacking,Defense Evasion,"Adversaries may tamper with Subject Interface Packages (SIP) and trust provider components to mislead the operating system and application control tools when conducting signature validation checks. Microsoft created software components called Subject Interface Packages (SIPs) [4] to provide a layer of abstraction between API functions and files. SIPs are responsible for enabling API functions to create, retrieve, calculate, and verify signatures. Adversaries may abuse this architecture to subvert trust controls and bypass security policies that allow only legitimately signed code to execute on a system.",Windows,https://attack.mitre.org/techniques/T1553/003,No
T1553.004,Subvert Trust Controls: Install Root Certificate,Defense Evasion,Adversaries may install a root certificate on a compromised system to avoid warnings when connecting to adversary controlled web servers. Root certificates are used in public key cryptography to identify a root certificate authority (CA). Certificates are commonly used for establishing secure TLS/SSL communications within a web browser.,"Linux,Windows,macOS",https://attack.mitre.org/techniques/T1553/004,No
T1553.005,Subvert Trust Controls: Mark-of-the-Web Bypass,Defense Evasion,"Adversaries may abuse specific file formats to subvert Mark-of-the-Web (MOTW) controls. In Windows, when files are downloaded from the Internet, they are tagged with a hidden NTFS Alternate Data Stream (ADS) named <code>Zone.Identifier</code> with a specific value known as the MOTW.(Citation: Microsoft Zone.Identifier 2020) Files that are tagged with MOTW are protected and cannot perform certain actions. For example, starting in MS Office 10, if a MS Office file has the MOTW, it will open in Protected View. Executables tagged with the MOTW will be processed by Windows Defender SmartScreen that compares files with an allowlist of well-known executables. If the file in not known/trusted, SmartScreen will prevent the execution and warn the user not to run it.(Citation: Beek Use of VHD Dec 2020)(Citation: Outflank MotW 2020)(Citation: Intezer Russian APT Dec 2020)",Windows,https://attack.mitre.org/techniques/T1553/005,Yes
T1553.006,Subvert Trust Controls: Code Signing Policy Modification,Defense Evasion,"Adversaries may modify code signing policies to enable execution of unsigned or self-signed code. Code signing provides a level of authenticity on a program from a developer and a guarantee that the program has not been tampered with. Security controls can include enforcement mechanisms to ensure that only valid, signed code can be run on an operating system.","Windows,macOS",https://attack.mitre.org/techniques/T1553/006,Yes
T1554,Compromise Client Software Binary,Persistence,"Adversaries may modify client software binaries to establish persistent access to systems. Client software enables users to access services provided by a server. Common client software types are SSH clients, FTP clients, email clients, and web browsers. Adversaries may make modifications to client software binaries to carry out malicious tasks when those applications are in use.","Linux,Windows,macOS",https://attack.mitre.org/techniques/T1554,No
T1555.001,Credentials from Password Stores: Keychain,Credential Access,"Adversaries may collect the keychain storage data from a system to acquire credentials. Keychains are the built-in way for macOS to keep track of users' passwords and credentials for many services and features. users have to use additional credentials to access their keychain. If an adversary knows the credentials for the login keychain, then they can get access to all the other credentials stored in this vault. By default, the passphrase for the keychain is the user's logon credentials.",macOS,https://attack.mitre.org/techniques/T1555/001,No
T1555.002,Credentials from Password Stores: Securityd Memory,Credential Access,"An adversary may obtain root access (allowing them to read securityd's memory), then they can scan through memory to find the correct sequence of keys in relatively few tries to decrypt the user's logon keychain. This provides the adversary with all the plaintext passwords for users, WiFi, mail, browsers, certificates, secure notes","Linux,macOS",https://attack.mitre.org/techniques/T1555/002,No
